Sample_ID,BD,Porosity,Sand_KA5,Silt_KA5,Clay_KA5,cSand_KA5,mSand_KA5,fSand_KA5,cSilt_KA5,mSilt_KA5,fSilt_KA5,TexClass_KA5,Sand_USDA,Silt_USDA,Clay_USDA,TexClass_USDA,Stone,Corg,N,S
FSUJ_001,1.41,0.47,8.7,77.3,14,0.7,0.9,7,55.5,15.1,6.7,Ut3,15.8841158841159,70.1298701298701,13.986013986014,SiLo,1.2,0.97,0.1,NA
FSUJ_002,1.32,0.5,6.7,74.2,19.1,0.3,0.5,5.9,54,16.9,3.4,Ut4,13.2867132867133,67.6323676323676,19.0809190809191,SiLo,0.2,1.08,0.11,NA
FSUJ_003,1.38,0.48,4.0959040959041,80.2197802197802,15.6843156843157,0.4,0.5,3.2,60.2,19.2,0.8,Ut3,10,74.3,15.7,SiLo,0,1,0.09,NA
FSUJ_004,1.44,0.46,3.4,75.1,21.5,0.2,0.3,2.9,55.7,16,3.4,Ut4,8.99100899100899,69.5304695304695,21.4785214785215,SiLo,0.1,1.35,0.11,NA
FSUJ_005,1.45,0.45,5.7,91.9,2.4,0.1,0.4,5.2,60.7,9.1,22.1,Uu,13.2,84.4,2.4,Si,0.8,0.88,0.08,NA
FSUJ_006,1.26,0.52,2,91.1,6.9,0.1,0.2,1.7,59.5,18.2,13.5,Uu,7.4,85.7,6.9,Si,0.2,1.28,0.11,NA
FSUJ_007,1.31,0.51,3.6,68.8,27.6,0,0.1,3.5,56.9,11.1,0.9,Tu4,9.9,62.5,27.6,SiClLo,0,1.18,0.13,NA
FSUJ_008,1.47,0.45,3.7,76.4,19.9,0.3,0.3,3.2,56,12,8.3,Ut4,9.7,70.4,19.9,SiLo,7.6,0.94,0.09,NA
FSUJ_009,1.4,0.47,3.2,74.6,22.2,0.2,0.4,2.6,53.7,15.9,5,Ut4,8.40840840840841,69.3693693693694,22.2222222222222,SiLo,0.1,1.08,0.11,NA
FSUJ_010,1.41,0.47,13.2,72.5,14.3,0.1,0.6,12.5,52.6,10,10,Ut3,22.6,63.1,14.3,SiLo,0.6,1.02,0.13,NA
FSUJ_011,1.38,0.48,20.1,79.8,0.1,0,0.3,19.8,61.4,0,18.3,Us,33.2,66.7,0.1,SiLo,0,1.04,0.13,NA
FSUJ_012,1.46,0.45,5.1,76.4,18.5,0.2,0.2,4.7,58.4,14.6,3.4,Ut4,11.6116116116116,69.8698698698699,18.5185185185185,SiLo,1.1,1.28,0.12,NA
FSUJ_013,1.41,0.47,4.1958041958042,68.5314685314685,27.2727272727273,0.1,0.2,3.9,46.1,11.2,11.2,Tu4,9.4,63.3,27.3,SiLo,0.3,1.53,0.15,NA
FSUJ_014,1.42,0.46,5.19480519480519,78.4215784215784,16.3836163836164,0.2,0.8,4.2,55.8,19.2,3.5,Ut3,11.1,72.5,16.4,SiLo,0.5,0.93,0.09,NA
FSUJ_015,1.36,0.49,5.70570570570571,81.0810810810811,13.2132132132132,0.3,0.9,4.5,59.8,11.9,9.3,Ut3,12.6126126126126,74.1741741741742,13.2132132132132,SiLo,0.4,0.96,0.09,NA
FSUJ_016,1.09,0.59,3.4034034034034,80.7807807807808,15.8158158158158,0.2,0.3,3,50.7,13.9,16.2,Ut3,8.60860860860861,75.5755755755756,15.8158158158158,SiLo,0.4,1.25,0.12,NA
FSUJ_017,1.28,0.52,6.9,70.1,23,0.1,0.1,6.7,60.4,6.5,3.3,Ut4,15.2,61.8,23,SiLo,0,1.24,0.12,NA
FSUJ_018,1.44,0.46,3.3,86.1,10.6,0.2,0.3,2.8,59.2,15.1,11.8,Ut2,9.2,80.2,10.6,Si,0.6,1.11,0.09,NA
FSUJ_019,1.46,0.45,2.1021021021021,83.3833833833834,14.5145145145145,0.1,0,2,60.9,10.8,11.6,Ut3,8.3,77.2,14.5,SiLo,0,0.92,0.1,NA
FSUJ_020,1.43,0.46,5.0949050949051,90.7092907092907,4.1958041958042,2.2,0.3,2.5,57.8,18.4,14.5,Uu,10.6,85.2,4.2,Si,13.3,0.78,0.08,NA
FSUJ_021,0.79,0.7,49.4494494494494,35.6356356356356,14.9149149149149,0.3,6.3,42.8,19.1,5.8,10.7,Sl4,56,29.1,14.9,SaLo,0.2,3.47,0.28,NA
FSUJ_022,0.76,0.71,52.5,47.4,0.1,0.9,7,44.6,33.5,7.8,6.1,Su4,61.4,38.5,0.1,SaLo,0.2,5.38,0.4,NA
FSUJ_023,1.24,0.53,71.8,28.1,0.1,3.6,40.8,27.4,13.5,9.2,5.4,Su3,75.3,24.6,0.1,LoSa,0.8,1.38,0.09,NA
FSUJ_024,0.91,0.66,15.9,73.9,10.2,0.5,3.6,11.8,23.1,25.9,24.9,Ut2,19.8,70,10.2,SiLo,0,2.13,0.13,NA
FSUJ_025,0.87,0.67,41.1,42.6,16.3,8.6,18.4,14,22.3,4.8,15.6,Slu,45.5,38.2,16.3,Lo,1.3,2.14,0.12,NA
FSUJ_026,0.73,0.72,32.6,55,12.4,4,7.8,20.9,36,8.9,10.2,Uls,39.9,47.7,12.4,Lo,1.4,7.73,0.55,NA
FSUJ_027,0.46,0.83,37.3,49.2,13.5,1.6,5.8,29.9,36.1,9.9,3.2,Slu,45.3,41.2,13.5,Lo,0,8.61,0.63,NA
