Sample_ID,MeasType,pF,k
FSUJ_001,KSAT,-2,416.869383
FSUJ_001,HyProp,0.998,0.199526
FSUJ_001,HyProp,1.006,0.169824
FSUJ_001,HyProp,1.024,0.158489
FSUJ_001,HyProp,1.052,0.162181
FSUJ_001,HyProp,1.068,0.125893
FSUJ_001,HyProp,1.072,0.158489
FSUJ_001,HyProp,1.074,0.169824
FSUJ_001,HyProp,1.085,0.123027
FSUJ_001,HyProp,1.097,0.11749
FSUJ_001,HyProp,1.099,0.097724
FSUJ_001,HyProp,1.107,0.093325
FSUJ_001,HyProp,1.122,0.091201
FSUJ_001,HyProp,1.136,0.091201
FSUJ_001,HyProp,1.153,0.081283
FSUJ_001,HyProp,1.173,0.077625
FSUJ_001,HyProp,1.192,0.081283
FSUJ_001,HyProp,1.209,0.081283
FSUJ_001,HyProp,1.223,0.070795
FSUJ_001,HyProp,1.23,0.074131
FSUJ_001,HyProp,1.237,0.066069
FSUJ_001,HyProp,1.248,0.058884
FSUJ_001,HyProp,1.264,0.058884
FSUJ_001,HyProp,1.282,0.060256
FSUJ_001,HyProp,1.288,0.060256
FSUJ_001,HyProp,1.298,0.053703
FSUJ_001,HyProp,1.31,0.047863
FSUJ_001,HyProp,1.318,0.050119
FSUJ_001,HyProp,1.333,0.048978
FSUJ_001,HyProp,1.341,0.038019
FSUJ_001,HyProp,1.342,0.041687
FSUJ_001,HyProp,1.346,0.045709
FSUJ_001,HyProp,1.364,0.037154
FSUJ_001,HyProp,1.384,0.035481
FSUJ_001,HyProp,1.392,0.033113
FSUJ_001,HyProp,1.403,0.031623
FSUJ_001,HyProp,1.41,0.019953
FSUJ_001,HyProp,1.416,0.02884
FSUJ_001,HyProp,1.427,0.022387
FSUJ_001,HyProp,1.429,0.019953
FSUJ_001,HyProp,1.431,0.02884
FSUJ_001,HyProp,1.441,0.026303
FSUJ_001,HyProp,1.456,0.019055
FSUJ_001,HyProp,1.479,0.017783
FSUJ_001,HyProp,1.494,0.016596
FSUJ_001,HyProp,1.515,0.016218
FSUJ_001,HyProp,1.54,0.015136
FSUJ_001,HyProp,1.555,0.014454
FSUJ_001,HyProp,1.569,0.013804
FSUJ_001,HyProp,1.584,0.013183
FSUJ_001,HyProp,1.598,0.013183
FSUJ_001,HyProp,1.613,0.011749
FSUJ_001,HyProp,1.627,0.010965
FSUJ_001,HyProp,1.638,0.009772
FSUJ_001,HyProp,1.651,0.00955
FSUJ_001,HyProp,1.663,0.00955
FSUJ_001,HyProp,1.671,0.007762
FSUJ_001,HyProp,1.672,0.008318
FSUJ_001,HyProp,1.677,0.00912
FSUJ_001,HyProp,1.695,0.007413
FSUJ_001,HyProp,1.712,0.006918
FSUJ_001,HyProp,1.723,0.006607
FSUJ_001,HyProp,1.738,0.006457
FSUJ_001,HyProp,1.749,0.005888
FSUJ_001,HyProp,1.762,0.005888
FSUJ_001,HyProp,1.778,0.005495
FSUJ_001,HyProp,1.791,0.005248
FSUJ_001,HyProp,1.806,0.004898
FSUJ_001,HyProp,1.821,0.004898
FSUJ_001,HyProp,1.833,0.004571
FSUJ_001,HyProp,1.847,0.004169
FSUJ_001,HyProp,1.862,0.003802
FSUJ_001,HyProp,1.877,0.004266
FSUJ_001,HyProp,1.884,0.003631
FSUJ_001,HyProp,1.894,0.003467
FSUJ_001,HyProp,1.912,0.003162
FSUJ_001,HyProp,1.93,0.003388
FSUJ_001,HyProp,1.946,0.00302
FSUJ_001,HyProp,1.961,0.002884
FSUJ_001,HyProp,1.973,0.002818
FSUJ_001,HyProp,1.986,0.002399
FSUJ_001,HyProp,1.999,0.002512
FSUJ_001,HyProp,2.014,0.002692
FSUJ_001,HyProp,2.028,0.00257
FSUJ_001,HyProp,2.038,0.002512
FSUJ_001,HyProp,2.051,0.002344
FSUJ_001,HyProp,2.068,0.002291
FSUJ_001,HyProp,2.081,0.002239
FSUJ_001,HyProp,2.093,0.002138
FSUJ_001,HyProp,2.106,0.002089
FSUJ_001,HyProp,2.12,0.002042
FSUJ_001,HyProp,2.133,0.001862
FSUJ_001,HyProp,2.147,0.001778
FSUJ_001,HyProp,2.16,0.001905
FSUJ_001,HyProp,2.174,0.00182
FSUJ_001,HyProp,2.188,0.00166
FSUJ_001,HyProp,2.204,0.00166
FSUJ_001,HyProp,2.223,0.001549
FSUJ_001,HyProp,2.239,0.001479
FSUJ_001,HyProp,2.254,0.001445
FSUJ_001,HyProp,2.269,0.001445
FSUJ_001,HyProp,2.284,0.00138
FSUJ_001,HyProp,2.299,0.001259
FSUJ_001,HyProp,2.315,0.00123
FSUJ_001,HyProp,2.33,0.001202
FSUJ_001,HyProp,2.345,0.001148
FSUJ_001,HyProp,2.361,0.001072
FSUJ_001,HyProp,2.377,0.001072
FSUJ_001,HyProp,2.393,0.001
FSUJ_001,HyProp,2.409,0.001
FSUJ_001,HyProp,2.424,0.000933
FSUJ_001,HyProp,2.441,0.000912
