Sample_ID,pF,theta_VGM,k_VGM,theta_PDI,k_PDI
FSUJ_001,-2,0.4314,0.25747844,0.4396,13.565368632
FSUJ_001,-1.912,0.4314,0.253955165,0.4396,13.561958154
FSUJ_001,-1.824,0.4314,0.250292249,0.4396,13.557590121
FSUJ_001,-1.736,0.4314,0.246485644,0.4396,13.551993978
FSUJ_001,-1.648,0.4314,0.242531364,0.4396,13.544828172
FSUJ_001,-1.56,0.4314,0.23842551,0.4395,13.535649501
FSUJ_001,-1.472,0.4314,0.234164292,0.4395,13.523895304
FSUJ_001,-1.384,0.4314,0.22974407,0.4395,13.508847531
FSUJ_001,-1.296,0.4314,0.2251614,0.4395,13.489591553
FSUJ_001,-1.208,0.4314,0.220413068,0.4395,13.464957904
FSUJ_001,-1.12,0.4314,0.215496162,0.4395,13.433463511
FSUJ_001,-1.032,0.4314,0.210408107,0.4395,13.393219916
FSUJ_001,-0.944,0.4314,0.205146749,0.4395,13.341848352
FSUJ_001,-0.856,0.4313,0.199710431,0.4395,13.276344099
FSUJ_001,-0.768,0.4313,0.194098076,0.4394,13.192937347
FSUJ_001,-0.68,0.4313,0.188309274,0.4394,13.086933633
FSUJ_001,-0.592,0.4313,0.182344421,0.4394,12.952517866
FSUJ_001,-0.504,0.4313,0.176204822,0.4393,12.782573541
FSUJ_001,-0.416,0.4313,0.169892845,0.4392,12.568527508
FSUJ_001,-0.328,0.4312,0.163412077,0.4391,12.300243246
FSUJ_001,-0.24,0.4312,0.156767506,0.439,11.966044126
FSUJ_001,-0.152,0.4312,0.149965742,0.4388,11.552971447
FSUJ_001,-0.064,0.4311,0.143015217,0.4386,11.047448864
FSUJ_001,0.024,0.431,0.135926477,0.4384,10.436438062
FSUJ_001,0.112,0.4309,0.128712439,0.4381,9.709351639
FSUJ_001,0.2,0.4308,0.121388711,0.4377,8.860885405
FSUJ_001,0.288,0.4306,0.11397394,0.4372,7.894560185
FSUJ_001,0.376,0.4304,0.106490143,0.4365,6.826537967
FSUJ_001,0.464,0.4302,0.098963102,0.4357,5.688712819
FSUJ_001,0.552,0.4298,0.09142267,0.4347,4.52946794
FSUJ_001,0.64,0.4294,0.083903195,0.4335,3.410335847
FSUJ_001,0.728,0.4289,0.076443647,0.4321,2.397421799
FSUJ_001,0.816,0.4282,0.06908779,0.4303,1.55939325
FSUJ_001,0.904,0.4273,0.061884117,0.4282,0.967752449
FSUJ_001,0.992,0.4262,0.054885421,0.4257,0.584654087
FSUJ_001,1.08,0.4248,0.048148016,0.4227,0.350049861
FSUJ_001,1.168,0.423,0.041730357,0.4192,0.213209504
FSUJ_001,1.256,0.4209,0.035691048,0.4152,0.135893746
FSUJ_001,1.344,0.4182,0.030086114,0.4105,0.092250982
FSUJ_001,1.432,0.4149,0.024965628,0.4053,0.066522751
FSUJ_001,1.52,0.4109,0.020369853,0.3995,0.050023468
FSUJ_001,1.608,0.4061,0.016325369,0.3931,0.038390123
FSUJ_001,1.696,0.4005,0.012841815,0.3864,0.029596428
FSUJ_001,1.784,0.3939,0.009909923,0.3792,0.022727507
FSUJ_001,1.872,0.3864,0.007501555,0.3719,0.017329036
FSUJ_001,1.96,0.378,0.005571964,0.3643,0.013115387
FSUJ_001,2.048,0.3687,0.004064103,0.3567,0.009862518
FSUJ_001,2.136,0.3586,0.002914137,0.349,0.007378186
FSUJ_001,2.224,0.3479,0.00205715,0.3413,0.005497975
FSUJ_001,2.312,0.3367,0.001431998,0.3337,0.004085079
FSUJ_001,2.4,0.3251,0.000984666,0.326,0.003028974
FSUJ_001,2.488,0.3133,0.000669965,0.3185,0.002242604
FSUJ_001,2.576,0.3014,0.000451794,0.3109,0.001658686
FSUJ_001,2.664,0.2896,0.000302413,0.3035,0.001225939
FSUJ_001,2.752,0.2779,0.000201189,0.2961,0.000905656
FSUJ_001,2.84,0.2665,0.000133182,0.2887,0.000668809
FSUJ_001,2.928,0.2553,8.781e-05,0.2814,0.000493776
FSUJ_001,3.016,0.2444,5.7708e-05,0.2742,0.000364488
FSUJ_001,3.104,0.2338,3.7829e-05,0.2671,0.000269022
FSUJ_001,3.192,0.2237,2.4747e-05,0.26,0.000198545
FSUJ_001,3.28,0.2139,1.6163e-05,0.253,0.000146526
FSUJ_001,3.368,0.2045,1.0543e-05,0.246,0.000108134
FSUJ_001,3.456,0.1954,6.87e-06,0.2391,7.9801e-05
FSUJ_001,3.544,0.1867,4.474e-06,0.2322,5.8891e-05
FSUJ_001,3.632,0.1784,2.911e-06,0.2254,4.3459e-05
FSUJ_001,3.72,0.1705,1.893e-06,0.2186,3.2072e-05
FSUJ_001,3.808,0.1629,1.231e-06,0.2119,2.3669e-05
FSUJ_001,3.896,0.1556,8e-07,0.2052,1.7469e-05
FSUJ_001,3.984,0.1486,5.2e-07,0.1986,1.2895e-05
FSUJ_001,4.072,0.1419,3.38e-07,0.192,9.519e-06
FSUJ_001,4.16,0.1356,2.19e-07,0.1854,7.029e-06
FSUJ_001,4.248,0.1295,1.43e-07,0.1789,5.192e-06
FSUJ_001,4.336,0.1237,9.3e-08,0.1724,3.836e-06
FSUJ_001,4.424,0.1181,6e-08,0.1659,2.836e-06
FSUJ_001,4.512,0.1128,3.9e-08,0.1595,2.099e-06
FSUJ_001,4.6,0.1078,2.5e-08,0.1531,1.555e-06
FSUJ_001,4.688,0.1029,1.6e-08,0.1468,1.154e-06
FSUJ_001,4.776,0.0983,1.1e-08,0.1404,8.59e-07
FSUJ_001,4.864,0.0939,7e-09,0.1341,6.42e-07
FSUJ_001,4.952,0.0897,5e-09,0.1278,4.81e-07
FSUJ_001,5.04,0.0856,3e-09,0.1215,3.64e-07
FSUJ_001,5.128,0.0818,2e-09,0.1153,2.77e-07
FSUJ_001,5.216,0.0781,1e-09,0.1091,2.13e-07
FSUJ_001,5.304,0.0746,1e-09,0.1029,1.66e-07
FSUJ_001,5.392,0.0713,1e-09,0.0967,1.32e-07
FSUJ_001,5.48,0.0681,0,0.0906,1.06e-07
FSUJ_001,5.568,0.065,0,0.0844,8.7e-08
FSUJ_001,5.656,0.0621,0,0.0783,7.3e-08
FSUJ_001,5.744,0.0593,0,0.0722,6.2e-08
FSUJ_001,5.832,0.0566,0,0.0661,5.3e-08
FSUJ_001,5.92,0.0541,0,0.06,4.6e-08
FSUJ_001,6.008,0.0517,0,0.054,3.9e-08
FSUJ_001,6.096,0.0493,0,0.0479,3.3e-08
FSUJ_001,6.184,0.0471,0,0.0419,2.7e-08
FSUJ_001,6.272,0.045,0,0.0359,2.2e-08
FSUJ_001,6.36,0.043,0,0.0299,1.7e-08
FSUJ_001,6.448,0.041,0,0.0239,1.2e-08
FSUJ_001,6.536,0.0392,0,0.0179,8e-09
FSUJ_001,6.624,0.0374,0,0.0119,5e-09
FSUJ_001,6.712,0.0358,0,0.006,3e-09
FSUJ_001,6.8,0.0342,0,0,2e-09
FSUJ_002,-2,0.4491,0.183035281,0.4631,14.016791072
FSUJ_002,-1.912,0.4491,0.1817384,0.4631,14.015222602
FSUJ_002,-1.824,0.4491,0.180365911,0.4631,14.013192888
FSUJ_002,-1.736,0.4491,0.178913759,0.4631,14.010566635
FSUJ_002,-1.648,0.4491,0.177377717,0.4631,14.007163564
FSUJ_002,-1.56,0.4491,0.175753402,0.4631,14.002764988
FSUJ_002,-1.472,0.4491,0.174036251,0.4631,13.997068887
FSUJ_002,-1.384,0.4491,0.172221549,0.4631,13.989699954
FSUJ_002,-1.296,0.4491,0.170304412,0.4631,13.980165091
FSUJ_002,-1.208,0.4491,0.168279817,0.4631,13.967831908
FSUJ_002,-1.12,0.4491,0.166142591,0.4631,13.951882177
FSUJ_002,-1.032,0.4491,0.163887447,0.463,13.931263286
FSUJ_002,-0.944,0.4491,0.161508986,0.463,13.904616014
FSUJ_002,-0.856,0.4491,0.159001723,0.463,13.870199253
FSUJ_002,-0.768,0.4491,0.156360122,0.463,13.825781847
FSUJ_002,-0.68,0.4491,0.153578613,0.463,13.768505424
FSUJ_002,-0.592,0.4491,0.150651666,0.463,13.694727657
FSUJ_002,-0.504,0.4491,0.147573803,0.4629,13.599833769
FSUJ_002,-0.416,0.4491,0.144339687,0.4629,13.478017006
FSUJ_002,-0.328,0.4491,0.140944181,0.4628,13.322020573
FSUJ_002,-0.24,0.4491,0.137382448,0.4627,13.122905457
FSUJ_002,-0.152,0.4491,0.133650033,0.4626,12.869800062
FSUJ_002,-0.064,0.449,0.129743004,0.4625,12.549776746
FSUJ_002,0.024,0.449,0.125658097,0.4624,12.147910959
FSUJ_002,0.112,0.449,0.121392876,0.4621,11.64766845
FSUJ_002,0.2,0.4489,0.116945943,0.4619,11.031963087
FSUJ_002,0.288,0.4489,0.112317182,0.4615,10.285056931
FSUJ_002,0.376,0.4488,0.107508034,0.4611,9.395631603
FSUJ_002,0.464,0.4487,0.102521835,0.4605,8.36120728
FSUJ_002,0.552,0.4485,0.0973642,0.4598,7.193693003
FSUJ_002,0.64,0.4483,0.092043431,0.4589,5.925094618
FSUJ_002,0.728,0.4481,0.086571113,0.4577,4.6112136
FSUJ_002,0.816,0.4478,0.08096261,0.4563,3.348553176
FSUJ_002,0.904,0.4474,0.07523775,0.4545,2.305316507
FSUJ_002,0.992,0.4468,0.069421485,0.4523,1.512055005
FSUJ_002,1.08,0.4461,0.063544593,0.4497,0.944257178
FSUJ_002,1.168,0.4453,0.05764437,0.4465,0.563622601
FSUJ_002,1.256,0.4441,0.051765129,0.4428,0.325147418
FSUJ_002,1.344,0.4427,0.045958411,0.4384,0.185197496
FSUJ_002,1.432,0.4408,0.040282832,0.4333,0.107505113
FSUJ_002,1.52,0.4385,0.034803138,0.4275,0.065827172
FSUJ_002,1.608,0.4355,0.029588258,0.421,0.043392143
FSUJ_002,1.696,0.4318,0.024708228,0.4139,0.030626185
FSUJ_002,1.784,0.4273,0.020229707,0.4061,0.022616599
FSUJ_002,1.872,0.4217,0.016210399,0.398,0.017062745
FSUJ_002,1.96,0.415,0.012692939,0.3894,0.012945237
FSUJ_002,2.048,0.4071,0.009699345,0.3807,0.009800687
FSUJ_002,2.136,0.3979,0.007227428,0.3719,0.007384342
FSUJ_002,2.224,0.3874,0.005250382,0.363,0.005535715
FSUJ_002,2.312,0.3757,0.003720091,0.3541,0.004132031
FSUJ_002,2.4,0.3629,0.002573633,0.3453,0.003073968
FSUJ_002,2.488,0.3493,0.001741387,0.3366,0.002281204
FSUJ_002,2.576,0.3349,0.001154819,0.328,0.001689919
FSUJ_002,2.664,0.3202,0.000752366,0.3195,0.001250365
FSUJ_002,2.752,0.3052,0.000482729,0.3111,0.000924364
FSUJ_002,2.84,0.2902,0.000305752,0.3028,0.000682949
FSUJ_002,2.928,0.2755,0.000191594,0.2947,0.000504375
FSUJ_002,3.016,0.261,0.000119013,0.2866,0.000372389
FSUJ_002,3.104,0.2469,7.3407e-05,0.2787,0.00027489
FSUJ_002,3.192,0.2334,4.5022e-05,0.2709,0.000202895
FSUJ_002,3.28,0.2204,2.749e-05,0.2632,0.000149745
FSUJ_002,3.368,0.208,1.6726e-05,0.2556,0.000110514
FSUJ_002,3.456,0.1962,1.0149e-05,0.248,8.156e-05
FSUJ_002,3.544,0.185,6.145e-06,0.2406,6.019e-05
FSUJ_002,3.632,0.1743,3.714e-06,0.2332,4.4419e-05
FSUJ_002,3.72,0.1643,2.242e-06,0.226,3.2781e-05
FSUJ_002,3.808,0.1547,1.352e-06,0.2188,2.4193e-05
FSUJ_002,3.896,0.1458,8.15e-07,0.2117,1.7856e-05
FSUJ_002,3.984,0.1373,4.91e-07,0.2046,1.318e-05
FSUJ_002,4.072,0.1293,2.95e-07,0.1976,9.731e-06
FSUJ_002,4.16,0.1217,1.78e-07,0.1907,7.186e-06
FSUJ_002,4.248,0.1146,1.07e-07,0.1838,5.308e-06
FSUJ_002,4.336,0.1079,6.4e-08,0.177,3.923e-06
FSUJ_002,4.424,0.1016,3.9e-08,0.1703,2.901e-06
FSUJ_002,4.512,0.0957,2.3e-08,0.1636,2.147e-06
FSUJ_002,4.6,0.0901,1.4e-08,0.1569,1.592e-06
FSUJ_002,4.688,0.0848,8e-09,0.1503,1.182e-06
FSUJ_002,4.776,0.0798,5e-09,0.1437,8.8e-07
FSUJ_002,4.864,0.0752,3e-09,0.1372,6.58e-07
FSUJ_002,4.952,0.0708,2e-09,0.1307,4.94e-07
FSUJ_002,5.04,0.0666,1e-09,0.1242,3.74e-07
FSUJ_002,5.128,0.0627,1e-09,0.1178,2.86e-07
FSUJ_002,5.216,0.0591,0,0.1114,2.2e-07
FSUJ_002,5.304,0.0556,0,0.105,1.73e-07
FSUJ_002,5.392,0.0523,0,0.0987,1.37e-07
FSUJ_002,5.48,0.0493,0,0.0923,1.11e-07
FSUJ_002,5.568,0.0464,0,0.0861,9.2e-08
FSUJ_002,5.656,0.0437,0,0.0798,7.7e-08
FSUJ_002,5.744,0.0411,0,0.0735,6.6e-08
FSUJ_002,5.832,0.0387,0,0.0673,5.7e-08
FSUJ_002,5.92,0.0364,0,0.0611,4.9e-08
FSUJ_002,6.008,0.0343,0,0.0549,4.2e-08
FSUJ_002,6.096,0.0323,0,0.0488,3.5e-08
FSUJ_002,6.184,0.0304,0,0.0426,2.9e-08
FSUJ_002,6.272,0.0286,0,0.0365,2.3e-08
FSUJ_002,6.36,0.027,0,0.0304,1.8e-08
FSUJ_002,6.448,0.0254,0,0.0243,1.3e-08
FSUJ_002,6.536,0.0239,0,0.0182,9e-09
FSUJ_002,6.624,0.0225,0,0.0121,6e-09
FSUJ_002,6.712,0.0212,0,0.0061,3e-09
FSUJ_002,6.8,0.0199,0,0,2e-09
FSUJ_003,-2,0.4407,0.513664237,0.4456,8.505150443
FSUJ_003,-1.912,0.4407,0.509501504,0.4456,8.505029807
FSUJ_003,-1.824,0.4407,0.505107782,0.4456,8.504868832
FSUJ_003,-1.736,0.4407,0.50047151,0.4456,8.504653811
FSUJ_003,-1.648,0.4407,0.495580752,0.4456,8.50436693
FSUJ_003,-1.56,0.4407,0.49042317,0.4456,8.503983522
FSUJ_003,-1.472,0.4407,0.484986054,0.4456,8.503471882
FSUJ_003,-1.384,0.4407,0.479256344,0.4456,8.502788765
FSUJ_003,-1.296,0.4407,0.473220685,0.4456,8.501876852
FSUJ_003,-1.208,0.4407,0.466865412,0.4456,8.500658902
FSUJ_003,-1.12,0.4407,0.460176663,0.4455,8.499033088
FSUJ_003,-1.032,0.4407,0.453140417,0.4455,8.496862493
FSUJ_003,-0.944,0.4407,0.445742557,0.4455,8.493964861
FSUJ_003,-0.856,0.4407,0.437969008,0.4455,8.490097154
FSUJ_003,-0.768,0.4407,0.429805808,0.4455,8.484935201
FSUJ_003,-0.68,0.4407,0.421239278,0.4455,8.478047393
FSUJ_003,-0.592,0.4407,0.412256185,0.4455,8.468857201
FSUJ_003,-0.504,0.4407,0.402843908,0.4455,8.456598466
FSUJ_003,-0.416,0.4407,0.392990715,0.4455,8.44025232
FSUJ_003,-0.328,0.4406,0.382686014,0.4455,8.418466344
FSUJ_003,-0.24,0.4406,0.371920674,0.4455,8.389449226
FSUJ_003,-0.152,0.4406,0.360687416,0.4455,8.350834178
FSUJ_003,-0.064,0.4406,0.348981239,0.4454,8.299505556
FSUJ_003,0.024,0.4405,0.336799951,0.4454,8.231380545
FSUJ_003,0.112,0.4405,0.324144763,0.4453,8.141135629
FSUJ_003,0.2,0.4404,0.311020947,0.4453,8.021908241
FSUJ_003,0.288,0.4403,0.297438656,0.4452,7.86495641
FSUJ_003,0.376,0.4402,0.283413778,0.445,7.659338441
FSUJ_003,0.464,0.4401,0.268968958,0.4448,7.391700302
FSUJ_003,0.552,0.4399,0.254134678,0.4446,7.046345923
FSUJ_003,0.64,0.4396,0.238950454,0.4443,6.60588091
FSUJ_003,0.728,0.4393,0.223466095,0.4439,6.052838411
FSUJ_003,0.816,0.4389,0.207743001,0.4433,5.385535959
FSUJ_003,0.904,0.4384,0.191855353,0.4426,4.676863988
FSUJ_003,0.992,0.4377,0.17589122,0.4417,3.960119488
FSUJ_003,1.08,0.4369,0.159953239,0.4404,3.251830948
FSUJ_003,1.168,0.4358,0.144158847,0.4388,2.572985863
FSUJ_003,1.256,0.4344,0.128639582,0.4367,1.947283707
FSUJ_003,1.344,0.4326,0.113539307,0.434,1.398117784
FSUJ_003,1.432,0.4303,0.09901083,0.4307,0.944143316
FSUJ_003,1.52,0.4275,0.085210713,0.4264,0.59476468
FSUJ_003,1.608,0.4239,0.072292027,0.4213,0.347363186
FSUJ_003,1.696,0.4195,0.060395322,0.415,0.187810699
FSUJ_003,1.784,0.4142,0.049638117,0.4076,0.09475857
FSUJ_003,1.872,0.4078,0.040104555,0.399,0.045742153
FSUJ_003,1.96,0.4002,0.031836513,0.3893,0.022203023
FSUJ_003,2.048,0.3914,0.024828421,0.3785,0.011601485
FSUJ_003,2.136,0.3814,0.019027227,0.367,0.006851032
FSUJ_003,2.224,0.3703,0.014338166,0.355,0.004541697
FSUJ_003,2.312,0.3582,0.010635456,0.3427,0.003234175
FSUJ_003,2.4,0.3451,0.007775863,0.3303,0.002376786
FSUJ_003,2.488,0.3315,0.00561236,0.3182,0.00176388
FSUJ_003,2.576,0.3174,0.004005552,0.3063,0.001310539
FSUJ_003,2.664,0.3031,0.002831466,0.2948,0.000972384
FSUJ_003,2.752,0.2888,0.001985483,0.2837,0.000720297
FSUJ_003,2.84,0.2746,0.00138305,0.273,0.00053285
FSUJ_003,2.928,0.2607,0.000958215,0.2627,0.000393817
FSUJ_003,3.016,0.2471,0.000660996,0.2529,0.000290884
FSUJ_003,3.104,0.2341,0.00045439,0.2434,0.000214774
FSUJ_003,3.192,0.2215,0.000311505,0.2344,0.000158543
FSUJ_003,3.28,0.2095,0.00021309,0.2257,0.000117019
