Sample_ID,Orig_SampleName,Source,Lat,Lon,SamplingDepth,HyProp,AirEntry,WP4,KSAT,BD,Porosity,Texture_SSC,Texture_subgroups,Stone,Corg,N,S,Elemental_analyser,Method_Texture_analysis,Sample_volume,Note
FSUJ_001,HA_42205,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_002,HA_42220,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_003,HA_42305,Friedrich_Schiller_Universitaet_Jena,51.109,10.413,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_004,HA_42405,Friedrich_Schiller_Universitaet_Jena,51.108,10.413,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_005,HA_42420,Friedrich_Schiller_Universitaet_Jena,51.108,10.413,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_006,HA_42605,Friedrich_Schiller_Universitaet_Jena,51.108,10.413,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_007,HA_42620,Friedrich_Schiller_Universitaet_Jena,51.108,10.413,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_008,HA_42705,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_009,HA_42720,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_010,HA_42805,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_011,HA_42820,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
FSUJ_012,HA_42905,Friedrich_Schiller_Universitaet_Jena,51.109,10.412,27.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Vario Max CN; Elementar Analysemethoden GmbH; Germany,Wet sieving (particles 63 micro m to 2000 micro m) and sedimentation with Hydrometer readings after 30 s; 1; 2; 5; 15; and 45 min; and 1; 2; 6; and 24 h  (particles <63 micro m),250,NA
