Sample_ID,al_VGM,n_VGM,thr_VGM,ths_VGM,ks_VGM,lambda_VGM,al_PDI,n_PDI,thr_PDI,ths_PDI,ks_PDI,lambda_PDI,th_1_8_PDI,th_2_5_PDI,th_4_2_PDI
FSUJ_001,0.0114,1.23,0,0.4314,0.338,-1.42,0.1078,1.22,0.3525,0.4396,13.565,10,0.3779,0.3175,0.1824
FSUJ_002,0.0055,1.3,0,0.4491,0.205,-0.28,0.0575,1.27,0.3475,0.4631,14.017,10,0.4046,0.3354,0.1876
FSUJ_003,0.0068,1.29,0,0.4407,0.586,-2.31,0.0154,1.43,0.248,0.4456,8.505,10,0.406,0.3166,0.1507
FSUJ_004,0.0025,1.37,0,0.3558,0.077,0.75,0.0183,1.31,0.2726,0.3691,2.073,10,0.3479,0.2962,0.1618
FSUJ_005,0.0065,1.28,0,0.3991,0.187,-2.63,0.0305,1.34,0.2748,0.4097,9.759,10,0.3636,0.294,0.156
FSUJ_006,0.0098,1.27,0,0.4637,3.033,0.23,0.0222,1.4,0.2746,0.4686,14.204,3.74,0.4154,0.324,0.1608
FSUJ_007,0.0201,1.2,0,0.4708,0.804,-1.12,0.0849,1.28,0.3497,0.4774,28.256,10,0.3988,0.3277,0.183
FSUJ_008,0.0031,1.37,0,0.409,0.079,-0.31,0.0263,1.32,0.3032,0.4253,5.976,10,0.3885,0.322,0.1743
FSUJ_009,0.0067,1.3,0,0.4287,0.248,-0.39,0.0348,1.33,0.3017,0.4397,11.985,10,0.3882,0.3154,0.1693
FSUJ_010,0.0036,1.25,0,0.4643,0.148,6.87,0.0052,1.44,0.2859,0.4613,1,10,0.4512,0.3981,0.1928
FSUJ_011,0.0068,1.27,0,0.429,0.09,-1.11,0.0816,1.23,0.3534,0.4394,9.769,10,0.3865,0.3256,0.1869
FSUJ_012,0.0046,1.29,0,0.419,0.241,0.59,0.0184,1.36,0.2836,0.4252,5.097,10,0.3928,0.3226,0.1683
FSUJ_013,0.0061,1.24,0,0.4376,0.201,2.81,0.0448,1.25,0.3525,0.4453,5.834,10,0.4055,0.3432,0.1949
FSUJ_014,0.0051,1.31,0,0.4117,0.198,-2.93,0.0152,1.43,0.2351,0.4205,7.315,10,0.3838,0.3,0.143
FSUJ_015,0.0681,1.07,0.0434,0.4886,30.61,-10,0.0173,1.28,0.3675,0.4691,1.896,10,0.4485,0.3917,0.2197
